year_month,sent,wti,CFNAI,vix,mccc,Mkt_RF,SMB,HML,RMW,CMA,RF
200001,0.536,27.26,0.17,24.95,,-4.74,4.44,-1.91,-6.31,4.75,0.41
200002,0.481,29.37,-0.21,23.37,,2.45,18.34,-9.7,-18.73,-0.36,0.43
200003,0.849,29.84,0.43,24.11,,5.2,-15.35,8.17,11.82,-1.65,0.47
200004,0.378,25.72,0.43,26.2,,-6.4,-5.01,7.26,7.66,5.65,0.46
200005,0.673,28.79,-0.37,23.65,,-4.42,-3.84,4.81,4.17,1.3,0.5
200006,0.881,31.82,0.11,19.54,,4.64,9.93,-8.43,-8.32,-2.93,0.4
200007,1.16,29.7,-0.28,20.74,,-2.51,-1.03,8.3,5.82,2.95,0.48
200008,1.15,31.26,-0.39,16.84,,7.03,-1.04,-1.38,-3.22,1.09,0.5
200009,1.245,33.88,0.34,20.57,,-5.45,0.19,7.17,2.56,5.53,0.51
200010,1.297,33.11,-0.52,23.63,,-2.76,-2.64,5.7,9.6,3.82,0.56
200011,1.775,34.42,-0.37,29.65,,-10.72,-0.6,12.32,13.09,8.39,0.51
200012,2.043,28.44,-0.26,26.85,,1.19,3.26,7.61,1.72,4.78,0.5
200101,2.269,29.59,-0.71,22.02,,3.13,5.5,-5.09,-4.7,-5,0.54
200102,2.933,29.61,-0.55,28.35,,-10.05,2.82,12.48,9.11,9.05,0.38
200103,2.715,27.25,-0.68,28.64,,-7.26,2.33,6.42,3.36,3.91,0.42
200104,2.354,27.49,-0.86,25.48,,7.94,-0.86,-4.68,-3.07,-3.19,0.39
200105,2.191,28.63,-0.45,22.64,,0.72,3.59,3.38,0.26,1.88,0.32
200106,2.58,27.6,-0.91,19.06,,-1.94,6.57,-1.13,1.6,-1.5,0.28
200107,2.457,26.43,-0.5,21.62,,-2.13,-2.83,5.21,7.42,3.06,0.3
200108,2.501,27.37,-0.45,24.92,,-6.46,2.71,2.3,4.05,6.56,0.31
200109,2.346,26.2,-1.05,31.93,,-9.25,-5.73,1.45,5,3.2,0.28
200110,2.114,22.17,-0.21,33.56,,2.46,5.28,-7.66,-2.99,-4.54,0.22
200111,1.396,19.64,-0.77,23.84,,7.54,-0.31,2.22,-3.72,-1.62,0.17
200112,1.107,19.39,-0.31,23.8,,1.6,5.16,0.85,0.35,-0.27,0.15
200201,1.356,19.72,-0.05,21.09,,-1.44,1.26,3.44,4.69,2.83,0.14
200202,0.67,20.72,-0.11,21.59,,-2.29,-0.36,2.16,8.06,5.11,0.13
200203,0.352,24.53,-0.02,17.4,,4.24,4.25,1.06,-1.78,0.57,0.13
200204,0.453,26.18,0.17,21.91,,-5.2,6.72,3.88,4.56,5.38,0.15
200205,0.405,27.04,0.04,19.98,,-1.38,-3.02,1.53,2.37,2.43,0.14
200206,0.439,25.52,0.29,25.4,,-7.21,3.89,-0.03,3.93,2.49,0.13
200207,-0.014,26.97,-0.28,32.03,,-8.18,-6.43,-3.85,3.79,-0.99,0.15
200208,-0.128,28.39,-0.08,32.64,,0.5,-1.3,3.29,1.36,-1.46,0.14
200209,-0.61,29.66,-0.33,39.69,,-10.35,3.07,1.47,3.29,-2.19,0.14
200210,-0.464,28.84,-0.37,31.14,,7.84,-4.3,-3.94,-3.4,0.77,0.14
200211,-0.285,26.35,0.13,27.5,,5.96,2.93,-1.21,-9.21,5.17,0.12
200212,-0.374,29.46,-0.59,28.62,,-5.76,0.62,2.14,6.29,-1.68,0.11
200301,-0.376,32.95,0.36,31.17,0.670882204,-2.57,0.72,-0.81,-1,0.71,0.1
200302,-0.545,35.83,-0.47,29.63,0.599650561,-1.88,-0.93,-1.38,0.83,-0.61,0.09
200303,-0.4,33.51,-0.18,29.15,0.405425681,1.09,0.67,-1.91,1.85,-0.75,0.1
200304,-0.707,28.17,-0.65,21.21,0.438446088,8.22,1.04,1.17,-4.7,1.09,0.1
200305,-0.738,28.11,0.01,19.47,0.375705959,6.05,4.87,0.5,-7.06,2.99,0.09
200306,-0.668,30.66,0.13,19.52,0.531266247,1.42,1.68,0.15,0.48,-0.35,0.1
200307,-0.865,30.76,0.11,19.49,0.47465738,2.35,4.54,-1.24,-4.15,1.77,0.07
200308,-0.951,31.57,-0.16,18.63,0.375098385,2.34,2.48,1.54,-2.24,2.13,0.07
200309,-0.807,28.31,0.32,22.72,0.601690038,-1.24,0.55,0.15,1,0.35,0.08
200310,-0.734,30.34,0.13,16.1,0.567786617,6.08,2.71,1.97,-1.35,1.54,0.07
200311,-0.654,31.11,0.48,16.32,0.268711664,1.35,2.33,1.78,0.19,1.8,0.07
200312,-0.829,32.13,0.03,18.31,0.683073862,4.29,-2.49,1.61,0.57,0.94,0.08
200401,-0.661,34.31,0.05,16.63,0.557912913,2.15,2.45,2.48,-3.67,3.38,0.07
200402,-0.531,34.69,0.43,14.55,0.453189161,1.4,-0.93,0.91,2.18,-1.21,0.06
200403,-0.601,36.74,0.51,16.74,0.505374317,-1.32,2.1,0.28,1.56,-0.98,0.09
200404,-0.474,36.75,0.07,17.19,0.436345723,-1.83,-2.01,-3.09,3.46,-2.84,0.08
200405,-0.476,40.28,0.54,15.5,0.883231192,1.17,-0.38,-0.24,-1.18,0.02,0.06
200406,-0.41,38.03,-0.3,14.34,0.58908922,1.86,2.56,1.19,1.2,-0.39,0.08
200407,-0.149,40.78,0.45,15.32,0.625805979,-4.06,-2.95,3.23,5.33,-1.66,0.1
200408,-0.001,44.9,0.3,15.29,0.460240178,0.08,-1.16,1,1.18,-1.44,0.11
200409,-0.049,45.94,0.14,13.34,0.523923764,1.6,3.27,-0.01,-1.48,-1.89,0.11
200410,-0.044,53.28,0.44,16.27,0.568741322,1.43,0.19,-0.22,-0.52,0.49,0.11
200411,-0.045,48.47,0.01,13.24,0.624721558,4.54,4.11,1.42,-0.59,-0.21,0.15
200412,-0.055,43.15,0.8,13.29,0.666420796,3.43,-0.05,-0.22,-1.16,0.46,0.16
